epoch,train_loss,valid_loss,accuracy,time
0,0.27209946513175964,0.2274504154920578,0.9224889278411865,10:46
1,0.28335919976234436,0.2568247318267822,0.9219525456428528,10:48
2,0.29066431522369385,0.24124304950237274,0.9250369071960449,10:49
3,0.25465983152389526,0.24655377864837646,0.9236958622932434,10:48
4,0.23678667843341827,0.2960204780101776,0.9218184351921082,10:48
5,0.20662011206150055,0.2537718117237091,0.9282553195953369,10:50
6,0.1870366781949997,0.22282381355762482,0.9294622540473938,10:50
7,0.13340212404727936,0.22068139910697937,0.932144284248352,10:48
8,0.129653200507164,0.22362737357616425,0.9333512187004089,10:49
9,0.10617464780807495,0.2300034910440445,0.9350945353507996,10:48
